year,companyname,value
2015,071320.KS,700
2015,005380.KS,700
2015,030200.KS,700
2015,036460.KS,700
2015,017670.KS,700
2015,055550.KS,700
2015,002380.KS,600
2015,004020.KS,600
2015,004170.KS,600
2015,032640.KS,600
2015,051600.KS,600
2015,015760.KS,600
2015,072710.KS,600
2015,023530.KS,600
2015,005300.KS,600
2015,002270.KS,600
2015,006400.KS,600
2015,000660.KS,600
2015,066570.KS,600
2015,008770.KS,600
2015,078930.KS,600
2015,298040.KS,
2015,138930.KS,
2015,101530.KS,500
2015,000080.KS,500
2015,060980.KS,500
2015,051500.KQ,500
2015,213500.KS,
2015,011780.KS,500
2015,103140.KS,500
2015,042670.KS,500
2015,034020.KS,500
2015,123040.KQ,300
2015,011160.KS,300
2015,068790.KQ,300
2015,027740.KS,
2015,043200.KQ,200
2015,090370.KS,
2015,016380.KS,100
2015,016380.KS,100
2015,0,
2015,0,
2015,0,
2015,0,
2015,0,
2015,0,
2015,0,
2015,0,
2015,0,
2015,0,
2015,0,
2015,316140.KS,700
2015,086790.KS,700
2015,086790.KS,700
2015,139130.KS,700
2015,0,
2015,0,
2016,071320.KS,700
2016,005380.KS,700
2016,030200.KS,700
2016,036460.KS,700
2016,017670.KS,700
2016,055550.KS,700
2016,002380.KS,600
2016,004020.KS,600
2016,004170.KS,600
2016,032640.KS,600
2016,051600.KS,600
2016,015760.KS,600
2016,072710.KS,600
2016,023530.KS,600
2016,005300.KS,600
2016,002270.KS,600
2016,006400.KS,600
2016,000660.KS,600
2016,066570.KS,600
2016,008770.KS,600
2016,078930.KS,600
2016,298040.KS,
2016,138930.KS,
2016,101530.KS,500
2016,000080.KS,500
2016,060980.KS,500
2016,051500.KQ,500
2016,213500.KS,500
2016,011780.KS,500
2016,103140.KS,500
2016,042670.KS,400
2016,034020.KS,500
2016,123040.KQ,300
2016,011160.KS,300
2016,068790.KQ,300
2016,027740.KS,300
2016,043200.KQ,200
2016,090370.KS,
2016,016380.KS,100
2016,016380.KS,100
2016,0,
2016,0,
2016,0,
2016,0,
2016,0,
2016,0,
2016,0,
2016,0,
2016,0,
2016,0,
2016,0,
2016,316140.KS,700
2016,086790.KS,700
2016,086790.KS,700
2016,139130.KS,700
2016,0,
2016,0,
2017,071320.KS,700
2017,005380.KS,700
2017,030200.KS,700
2017,036460.KS,700
2017,017670.KS,700
2017,055550.KS,700
2017,002380.KS,600
2017,004020.KS,600
2017,004170.KS,600
2017,032640.KS,600
2017,051600.KS,600
2017,015760.KS,600
2017,072710.KS,600
2017,023530.KS,600
2017,005300.KS,600
2017,002270.KS,600
2017,006400.KS,600
2017,000660.KS,600
2017,066570.KS,600
2017,008770.KS,600
2017,078930.KS,600
2017,298040.KS,
2017,138930.KS,
2017,101530.KS,500
2017,000080.KS,500
2017,060980.KS,500
2017,051500.KQ,500
2017,213500.KS,500
2017,011780.KS,500
2017,103140.KS,500
2017,042670.KS,400
2017,034020.KS,500
2017,123040.KQ,300
2017,011160.KS,300
2017,068790.KQ,300
2017,027740.KS,300
2017,043200.KQ,300
2017,090370.KS,200
2017,016380.KS,100
2017,016380.KS,100
2017,0,
2017,0,
2017,0,
2017,0,
2017,0,
2017,0,
2017,0,
2017,0,
2017,0,
2017,0,
2017,0,
2017,316140.KS,
2017,086790.KS,
2017,086790.KS,
2017,139130.KS,
2017,0,
2017,0,
2018,071320.KS,700
2018,005380.KS,700
2018,030200.KS,700
2018,036460.KS,700
2018,017670.KS,700
2018,055550.KS,700
2018,002380.KS,600
2018,004020.KS,600
2018,004170.KS,600
2018,032640.KS,600
2018,051600.KS,600
2018,015760.KS,600
2018,072710.KS,600
2018,023530.KS,600
2018,005300.KS,600
2018,002270.KS,600
2018,006400.KS,600
2018,000660.KS,600
2018,066570.KS,600
2018,008770.KS,600
2018,078930.KS,600
2018,298040.KS,600
2018,138930.KS,500
2018,101530.KS,500
2018,000080.KS,500
2018,060980.KS,500
2018,051500.KQ,500
2018,213500.KS,500
2018,011780.KS,500
2018,103140.KS,500
2018,042670.KS,400
2018,034020.KS,400
2018,123040.KQ,300
2018,011160.KS,300
2018,068790.KQ,
2018,027740.KS,
2018,043200.KQ,300
2018,090370.KS,200
2018,016380.KS,
2018,016380.KS,
2018,0,
2018,0,
2018,0,
2018,0,
2018,0,
2018,0,
2018,0,
2018,0,
2018,0,
2018,0,
2018,0,
2018,316140.KS,
2018,086790.KS,
2018,086790.KS,
2018,139130.KS,
2018,0,
2018,0,
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
2017,001020.KS,200
2017,032980.KQ,200
2017,042660.KS,100
2018,128820.KS,300
2018,011200.KS,300
2018,011930.KS,300
2018,018680.KQ,300
2018,007980.KS,300
2017,036630.KS,300
2017,001440.KS,300
2018,014790.KS,400
2018,019170.KS,400
2018,004540.KS,400
2018,003490.KS,400
2017,073240.KS,400
2017,036420.KQ,400
2018,020560.KS,400
2018,008040.KS,400
2018,001230.KS,400
2017,001520.KS,400